,Concurso,Local,Data do Sorteio,1º número do Sorteio,2º número do Sorteio,3º número do Sorteio,4º número do Sorteio,5º número do Sorteio,6º número do Sorteio,7º número do Sorteio,Mês da Sorte,Ganhadores Faixa 1,Ganhadores Faixa 2,Ganhadores Faixa 3,Ganhadores Faixa 4,Ganhadores Faixa 5,Rateio Faixa 1,Rateio Faixa 2,Rateio Faixa 3,Rateio Faixa 4,Rateio Faixa 5,Cidade,Valor Arrecadado,Estimativa para o próximo concurso,Valor Acumulado Próximo Concurso,Acumulado,Sorteio Especial,Observação
,27,IPAMERI GO,21/07/2018,006,012,015,017,020,023,028,2,5,269,6538,68661,210504,26121758,155872,2000,400,200,([OLHO D AGUA DAS CUNHAS][MA][IBIÁ][MG][RONDONÓPOLIS][MT][Curitiba][PR][ALEGRETE][RS]),513056800,50000000,000,Não,Não
,28,SÃO PAULO SP,24/07/2018,002,009,012,015,018,020,024,11,2,167,6278,68977,190014,32240017,165475,2000,400,200,([FEIRA DE SANTANA][BA][SÃO JOSÉ DOS CAMPOS][SP]),483840800,50000000,000,Não,Não
,29,SÃO PAULO SP,26/07/2018,003,005,013,021,022,024,027,2,0,160,6199,68444,185873,000,164779,2000,400,200,(),467127000,120000000,61517538,Sim,Não
,30,POUSO REDONDO SC,28/07/2018,004,008,009,017,020,027,030,11,0,102,4372,63552,200149,000,316182,2000,400,200,(),525426800,190000000,136768866,Sim,Não
,31,SÃO PAULO SP,31/07/2018,004,006,007,009,011,024,028,6,0,166,6680,81955,207705,000,218216,2000,400,200,(),600188200,280000000,221291058,Sim,Não
,32,SÃO PAULO SP,02/08/2018,003,004,007,016,018,020,027,3,1,248,8268,95098,281916,304287987,143428,2000,400,200,([LONDRINA][PR]),646700200,50000000,000,Não,Não
,33,CATALÃO GO,04/08/2018,003,010,012,013,023,028,031,9,0,100,4402,59156,238137,000,251448,2000,400,200,(),460978400,120000000,58671140,Sim,Não
,34,SÃO PAULO SP,07/08/2018,006,012,015,018,023,027,029,12,5,472,8622,79501,201441,24952368,85728,2000,400,200,([BETIM][MG][CAPINOPOLIS][MG][VOLTA REDONDA][RJ][VIDEIRA][SC][FRANCA][SP]),517221000,45000000,000,Não,Não
,35,SÃO PAULO SP,09/08/2018,003,007,011,012,017,022,023,11,0,129,5287,59487,179090,000,204116,2000,400,200,(),451153800,110000000,61438713,Sim,Não
,36,RIBEIRÃO DOS ÍNDIOS SP,11/08/2018,002,007,011,012,013,016,027,6,0,166,6375,82051,178356,000,187927,2000,400,200,(),530097600,200000000,134229143,Sim,Não
