,Concurso,Data Sorteio,1ª Dezena,2ª Dezena,3ª Dezena,4ª Dezena,5ª Dezena,Arrecadacao_Total,Ganhadores_Quina,Cidade,Rateio_Quina,Ganhadores_Quadra,Rateio_Quadra,Ganhadores_Terno,Rateio_Terno,Ganhadores_Duque,Rateio_Duque,Acumulado,Valor_Acumulado,Estimativa_Premio,Valor_Acumulado_Sorteio_Especial_São_João
,1,13/03/1994,025,045,060,076,079,000,3,(),7573122500,127,178892700,7030,4298200,0,000,Não,000,000,000
,2,17/03/1994,013,030,058,063,064,000,1,(),11849939700,105,112856500,4861,3242200,0,000,Não,000,000,000
,3,20/03/1994,005,015,032,033,048,000,1,(),15424427000,232,66484600,10196,2012000,0,000,Não,000,000,000
,4,24/03/1994,027,057,060,061,077,000,1,(),12418524600,78,159211900,4033,4095400,0,000,Não,000,000,000
,5,27/03/1994,019,044,053,054,071,000,1,(),14759571500,137,107734100,5338,3677400,0,000,Não,000,000,000
,6,03/04/1994,004,045,054,065,067,000,1,(),16539787900,157,105349000,7286,3019200,0,000,Não,000,000,000
,7,07/04/1994,009,021,037,042,068,000,2,(),7795604800,153,101903300,5621,3689100,0,000,Não,000,000,000
,8,10/04/1994,005,016,026,028,062,000,0,(),000,178,120814000,8290,3450100,0,000,Sim,000,000,000
,9,14/04/1994,004,015,044,064,073,000,0,(),000,160,148621700,7584,4170100,0,000,Sim,000,000,000
,10,17/04/1994,020,032,049,054,062,000,0,(),000,117,241436100,6089,6170100,0,000,Sim,000,000,000
,11,24/04/1994,017,033,052,060,076,000,3,(),41731285800,265,194948900,12691,5414000,0,000,Não,000,000,000
,12,28/04/1994,001,028,056,065,079,000,1,(),18466945900,139,132855700,5837,4207800,0,000,Não,000,000,000
,13,01/05/1994,013,033,038,039,072,000,0,(),000,115,200601800,7233,4241900,0,000,Sim,000,000,000
,14,05/05/1994,044,052,060,064,068,000,1,(),52512401500,106,277765900,4708,8317600,0,000,Não,000,000,000
,15,08/05/1994,002,025,054,063,066,000,1,(),27731945700,98,282979000,5358,6883800,0,000,Não,000,000,000
,16,12/05/1994,011,024,063,064,069,000,2,(),11052873800,109,202805000,4883,6021000,0,000,Não,000,000,000
,17,15/05/1994,001,014,026,034,072,000,2,(),13385723900,104,257417800,5667,6283100,0,000,Não,000,000,000
,18,19/05/1994,006,029,040,063,072,000,1,(),21264315300,53,401213500,3028,9340000,0,000,Não,000,000,000
,19,22/05/1994,012,021,042,060,066,000,1,(),25135705100,79,318173500,4768,7011400,0,000,Não,000,000,000
,20,26/05/1994,013,016,031,039,070,000,1,(),21383357000,110,194394200,4906,5796900,0,000,Não,000,000,000
,21,29/05/1994,005,015,038,048,077,000,0,(),000,175,145426900,7632,4435100,0,000,Sim,000,000,000
,22,05/06/1994,007,009,011,025,075,000,4,(),17409358100,458,96479800,17646,3330500,0,000,Não,000,000,000
,23,09/06/1994,001,015,063,072,077,000,0,(),000,102,285183100,4288,9022300,0,000,Sim,000,000,000
,24,12/06/1994,009,044,057,067,068,000,0,(),000,85,474621300,5511,9736200,0,000,Sim,000,000,000
,25,16/06/1994,002,029,046,069,076,000,2,(),57921595700,174,266734000,7175,8603100,0,000,Não,000,000,000
,26,19/06/1994,010,015,022,055,079,000,1,(),36763087200,186,197651000,7670,6374800,0,000,Não,000,000,000
,27,23/06/1994,005,036,039,070,078,000,0,(),000,76,367914800,3663,10152500,0,000,Sim,000,000,000
,28,26/06/1994,008,026,028,029,030,000,2,(),31728364600,318,111620100,7677,6149400,0,000,Não,000,000,000
,29,03/07/1994,020,023,031,035,076,000,0,(),000,87,170279,4456,4422,0,000,Sim,000,000,000
,30,07/07/1994,012,013,014,056,060,000,1,(),27136673,190,64855,6909,2373,0,000,Não,000,000,000
,31,10/07/1994,043,051,054,069,073,000,1,(),14070731,96,146570,4004,4675,0,000,Não,000,000,000
,32,14/07/1994,009,023,031,060,080,000,0,(),000,106,108792,5217,2940,0,000,Sim,000,000,000
,33,18/07/1994,021,031,044,065,074,000,0,(),000,58,273259,3743,5632,0,000,Sim,000,000,000
,34,21/07/1994,017,045,064,067,069,000,0,(),000,172,90840,7558,2750,0,000,Sim,000,000,000
,35,24/07/1994,044,052,054,056,060,000,2,(),32276741,278,77511,7007,4090,0,000,Não,000,000,000
,36,28/07/1994,042,056,062,065,079,000,0,(),000,136,101784,5188,3550,0,000,Sim,000,000,000
,37,31/07/1994,009,026,031,036,065,000,0,(),000,118,166328,7538,3464,0,000,Sim,000,000,000
,38,04/08/1994,011,012,057,059,069,000,1,(),57257733,179,132896,9813,3224,0,000,Não,000,000,000
,39,07/08/1994,005,007,021,028,070,000,3,(),6672022,321,62356,13197,2017,0,000,Não,000,000,000
,40,11/08/1994,002,018,031,038,049,000,2,(),8809596,180,97884,7961,2944,0,000,Não,000,000,000
,41,14/08/1994,005,014,031,041,049,000,5,([BA][DF][RJ]),4000893,292,68509,10350,2571,0,000,Não,000,20000000,000
,42,18/08/1994,015,033,039,076,078,000,1,(),17614702,168,104849,7021,3337,0,000,Não,000,000,000
,43,21/08/1994,005,018,021,041,071,000,1,(),21665642,204,106204,10453,2757,0,000,Não,000,000,000
,44,25/08/1994,002,007,057,059,076,000,2,(),9626030,162,118840,8076,3171,0,000,Não,000,000,000
,45,28/08/1994,002,003,027,064,065,000,2,(),10959902,194,112989,9899,2945,0,000,Não,000,000,000
,46,01/09/1994,030,049,072,078,080,000,1,(),19101519,140,136440,6625,3835,0,000,Não,000,000,000
,47,04/09/1994,010,018,022,031,073,000,1,(),22460133,213,105447,10178,2936,0,000,Não,000,000,000
,48,11/09/1994,020,039,072,073,076,000,0,(),000,98,307454,6631,6044,0,000,Sim,000,000,000
,49,15/09/1994,010,019,039,052,066,000,1,(),58591074,268,106196,13716,2761,0,000,Não,000,000,000
,50,18/09/1994,004,010,015,042,045,000,6,(),4069971,460,53086,17759,1830,0,000,Não,000,000,000
,51,22/09/1994,002,020,026,042,079,000,2,(),10659579,211,101038,8524,3327,0,000,Não,000,000,000
,52,25/09/1994,006,039,041,061,064,000,0,(),000,117,204916,6691,4767,0,000,Sim,000,000,000
,53,29/09/1994,040,042,048,064,069,000,2,(),26262499,210,135952,9140,4155,0,000,Não,000,000,000
,54,02/10/1994,013,021,032,033,066,000,2,(),12311224,234,105224,10666,3071,0,000,Não,000,000,000
,55,09/10/1994,012,014,060,066,068,000,1,(),31809540,222,143286,12224,3462,0,000,Não,000,000,000
,56,16/10/1994,005,018,024,043,048,000,4,(),8096454,780,41520,24568,1753,0,000,Não,000,000,000
,57,17/10/1994,031,049,052,063,071,000,0,(),000,114,185554,5761,4884,0,000,Sim,000,000,000
,58,23/10/1994,034,041,050,067,077,000,0,(),000,169,176666,8292,4789,0,000,Sim,000,000,000
,59,27/10/1994,020,035,037,042,071,000,0,(),000,509,185600,11231,4594,0,000,Sim,000,000,000
,60,30/10/1994,019,025,032,068,071,000,2,(),65628153,439,94434,16495,3343,0,000,Não,000,000,000
,61,06/11/1994,027,054,063,071,077,000,1,(),35025313,241,145333,12492,3729,0,000,Não,000,000,000
,62,10/11/1994,003,012,024,036,040,000,6,(),3946872,431,54945,15279,2062,0,000,Não,000,000,000
,63,13/11/1994,011,040,050,074,078,000,1,(),28018769,141,198715,7948,4689,0,000,Não,000,000,000
,64,20/11/1994,025,043,052,059,075,000,0,(),000,311,103273,12524,3411,0,000,Sim,000,000,000
,65,24/11/1994,003,025,060,062,075,000,1,(),65523466,271,123268,11166,3980,0,000,Não,000,000,000
,66,27/11/1994,066,073,075,076,079,000,3,(),9467883,335,84787,9001,4197,0,000,Não,000,000,000
,67,01/12/1994,005,023,036,067,070,000,1,(),24664035,236,104509,11156,2941,0,000,Não,000,000,000
,68,04/12/1994,007,052,068,069,076,000,1,(),29304758,234,125234,11636,3350,0,000,Não,000,000,000
,69,08/12/1994,016,061,065,072,078,000,0,(),000,208,121233,9342,3591,0,000,Sim,000,000,000
,70,11/12/1994,005,025,052,057,062,000,1,(),57563484,379,85349,15129,2844,0,000,Não,000,000,000
,71,15/12/1994,027,055,066,073,075,000,1,(),25217588,191,132030,11031,3041,0,000,Não,000,000,000
,72,18/12/1994,012,023,039,054,072,000,0,(),000,330,92807,12806,3182,0,000,Sim,000,000,000
,73,26/12/1994,006,017,049,065,070,000,5,(),16164002,450,111542,20328,3285,0,000,Não,000,000,000
,74,02/01/1995,041,047,049,070,074,000,2,(),20243541,267,151637,12156,4441,0,000,Não,000,000,000
,75,05/01/1995,004,027,046,053,055,000,0,(),000,191,126865,10721,3014,0,000,Sim,000,000,000
,76,08/01/1995,003,023,058,062,074,000,2,(),29960312,273,130730,12673,3755,0,000,Não,000,000,000
,77,12/01/1995,006,009,027,043,065,000,5,(),5334861,403,66190,15484,2297,0,000,Não,000,000,000
,78,15/01/1995,002,019,050,059,069,000,1,(),31506374,296,106440,14707,2856,0,000,Não,000,000,000
,79,19/01/1995,004,018,055,057,074,000,0,(),000,230,110292,11061,3058,0,000,Sim,000,000,000
,80,22/01/1995,035,042,055,060,078,000,3,(),19466230,214,154353,10359,4252,0,000,Não,000,000,000
,81,26/01/1995,013,031,045,056,063,000,6,(),4285788,400,64287,14061,2439,0,000,Não,000,000,000
,82,29/01/1995,013,034,055,064,080,000,1,(),30177616,286,105516,13687,2940,0,000,Não,000,000,000
,83,02/02/1995,017,020,030,033,068,000,1,(),25134592,198,126943,10014,3346,0,000,Não,000,000,000
,84,05/02/1995,001,008,013,053,061,000,3,(),10503125,393,80176,17224,2439,0,000,Não,000,000,000
,85,09/02/1995,003,020,027,032,061,000,1,(),28479856,221,128868,10724,3541,0,000,Não,000,000,000
,86,12/02/1995,013,049,057,067,078,000,1,(),33651539,282,119332,14157,3169,0,000,Não,000,000,000
,87,16/02/1995,018,029,037,051,057,000,2,(),13908538,236,117869,10952,3386,0,000,Não,000,000,000
,88,19/02/1995,011,025,049,051,053,000,4,(),8329427,272,122491,12187,3645,0,000,Não,000,000,000
,89,23/02/1995,002,032,040,053,054,000,0,(),000,152,180537,8120,4506,0,000,Sim,000,000,000
,90,26/02/1995,008,016,032,074,079,000,5,(),11955251,343,94270,13629,3164,0,000,Não,000,000,000
,91,05/03/1995,007,030,033,052,069,000,2,(),17348932,296,117222,13303,3478,0,000,Não,000,000,000
,92,09/03/1995,011,025,029,042,066,000,1,(),27604828,306,90212,12924,2848,0,000,Não,000,000,000
,93,12/03/1995,004,006,027,068,074,000,0,(),000,411,80709,16755,2640,0,000,Sim,000,000,000
,94,16/03/1995,001,019,059,065,080,000,10,(),7321291,890,44991,28660,1863,0,000,Não,000,000,000
,95,19/03/1995,006,043,050,063,071,000,0,(),000,198,184444,10593,4597,0,000,Sim,000,000,000
,96,23/03/1995,004,050,051,052,077,000,6,(),13141941,347,121994,13979,4038,0,000,Não,000,000,000
,97,26/03/1995,005,006,016,054,070,000,1,(),36776584,401,91712,18661,2628,0,000,Não,000,000,000
,98,30/03/1995,004,016,017,035,049,000,6,(),4854052,530,54952,19954,1946,0,000,Não,000,000,000
,99,02/04/1995,002,009,017,066,076,000,5,(),6862790,467,73477,19632,2331,0,000,Não,000,000,000
,100,06/04/1995,033,036,056,058,060,000,4,(),7110921,271,104958,10263,3696,0,000,Não,000,000,000
,101,09/04/1995,012,027,028,030,036,000,7,(),4893716,852,40206,16678,2739,0,000,Não,000,000,000
,102,16/04/1995,005,023,050,065,067,000,4,(),9240302,377,98040,16659,2959,0,000,Não,000,000,000
,103,23/04/1995,012,016,053,064,066,000,0,(),000,309,129237,16232,3281,0,000,Sim,000,000,000
,104,27/04/1995,020,030,036,048,053,000,2,(),36586481,246,135117,12297,3604,0,000,Não,000,000,000
,105,30/04/1995,003,007,045,046,065,000,1,(),34189710,456,74977,18410,2476,0,000,Não,000,000,000
,106,07/05/1995,020,021,043,045,067,000,0,(),000,235,173340,12629,4301,0,000,Sim,000,000,000
,107,11/05/1995,002,003,030,039,072,000,4,(),19416663,386,95679,16894,2915,0,000,Não,000,000,000
,108,14/05/1995,001,019,050,052,054,000,1,(),35288111,323,109252,16307,2885,0,000,Não,000,000,000
,109,18/05/1995,001,021,027,048,078,000,2,(),13408506,187,143407,9870,3623,0,000,Não,000,000,000
,110,21/05/1995,001,019,027,036,057,000,1,(),32943618,519,63475,21550,2038,0,000,Não,000,000,000
,111,25/05/1995,015,042,054,068,076,000,2,(),12853982,388,66258,11580,2960,0,000,Não,000,000,000
,112,28/05/1995,031,041,075,076,079,000,0,(),000,145,226252,7858,5567,0,000,Sim,000,000,000
,113,01/06/1995,012,014,042,061,069,000,2,(),33210488,219,153490,12349,3629,0,000,Não,000,000,000
,114,04/06/1995,010,020,044,058,065,000,2,(),17293035,273,126689,13445,3430,0,000,Não,000,000,000
,115,08/06/1995,002,021,038,054,073,000,2,(),14120715,187,151024,9567,3936,0,000,Não,000,000,000
,116,11/06/1995,016,020,034,056,057,000,2,(),17546406,287,122275,14048,3331,0,000,Não,000,000,000
,117,18/06/1995,007,011,024,042,049,000,11,(),3740184,835,49272,27654,1984,0,000,Não,000,000,000
,118,22/06/1995,014,023,026,056,077,000,1,(),26061899,215,121218,10446,3327,0,000,Não,000,000,000
,119,25/06/1995,002,016,019,026,027,000,7,(),4623939,714,45333,24667,1750,0,000,Não,000,000,000
,120,29/06/1995,007,039,048,058,062,000,1,(),25840258,149,173425,8392,4106,0,000,Não,000,000,000
,121,02/07/1995,019,022,053,069,077,000,2,(),15964875,309,103332,13023,3269,0,000,Não,000,000,000
,122,06/07/1995,002,008,012,053,054,000,4,(),6612472,393,67303,16129,2187,0,000,Não,000,000,000
,123,09/07/1995,008,020,064,068,073,000,1,(),34607846,205,168819,11227,4110,0,000,Não,000,000,000
,124,13/07/1995,010,011,012,023,037,000,3,(),9127429,644,42519,23387,1561,0,000,Não,000,000,000
,125,16/07/1995,010,013,022,050,066,000,0,(),000,425,80973,18357,2499,0,000,Sim,000,000,000
,126,20/07/1995,004,012,063,078,080,000,4,(),17220010,515,66926,18851,2438,0,000,Não,000,000,000
,127,23/07/1995,014,018,059,060,064,000,2,(),17111018,371,92243,14697,3105,0,000,Não,000,000,000
,128,27/07/1995,017,024,047,049,066,000,4,(),6863306,375,73209,14572,2512,0,000,Não,000,000,000
,129,30/07/1995,005,009,012,023,071,000,4,(),8143582,691,47141,25782,1685,0,000,Não,000,000,000
,130,02/08/1995,018,034,038,040,043,000,2,(),13467244,317,84967,13086,2744,0,000,Não,000,000,000
,131,06/08/1995,013,032,056,073,074,000,0,(),000,320,106506,13324,3411,0,000,Sim,000,000,000
,132,10/08/1995,019,025,063,074,077,000,4,(),17789148,323,114782,14657,3373,0,000,Não,000,000,000
,133,13/08/1995,013,018,043,047,053,000,3,(),12003661,578,62303,22304,2153,0,000,Não,000,000,000
,134,17/08/1995,010,028,060,062,074,000,1,(),27243343,142,191854,8100,4485,0,000,Não,000,000,000
,135,20/08/1995,002,053,057,062,064,000,2,(),18164026,188,193235,10672,4539,0,000,Não,000,000,000
,136,24/08/1995,009,019,024,059,061,000,5,(),5549067,413,67180,16193,2285,0,000,Não,000,000,000
,137,28/08/1995,013,014,037,066,075,000,1,(),36949262,367,100679,18598,2649,0,000,Não,000,000,000
,138,31/08/1995,013,023,037,056,080,000,0,(),000,305,85743,14000,2491,0,000,Sim,000,000,000
,139,03/09/1995,014,052,054,065,077,000,1,(),69284859,343,125753,15425,3729,0,000,Não,000,000,000
,140,10/09/1995,032,043,050,057,075,000,0,(),000,391,118429,14928,4136,0,000,Sim,000,000,000
,141,14/09/1995,006,051,053,054,057,000,2,(),43078568,402,99132,13691,3881,0,000,Não,000,000,000
,142,17/09/1995,015,021,056,079,080,000,2,(),20096452,425,94572,17807,3010,0,000,Não,000,000,000
,143,21/09/1995,014,027,039,048,061,000,0,(),000,255,117119,12171,3272,0,000,Sim,000,000,000
,144,24/09/1995,016,024,042,071,075,000,3,(),24856744,403,110931,17126,3481,0,000,Não,000,000,000
,145,28/09/1995,002,008,040,055,060,000,3,(),9643437,351,82423,13028,2961,0,000,Não,000,000,000
,146,01/10/1995,012,018,021,031,069,000,1,(),36829644,436,84472,19273,2548,0,000,Não,000,000,000
,147,05/10/1995,001,018,052,067,072,000,2,(),14287720,185,154462,10857,3510,0,000,Não,000,000,000
,148,08/10/1995,032,033,043,046,052,000,2,(),19382748,203,190963,11474,4505,0,000,Não,000,000,000
,149,15/10/1995,008,016,018,022,073,000,2,(),21561699,616,70005,25679,2239,0,000,Não,000,000,000
,150,19/10/1995,012,024,026,039,040,000,3,(),9044380,256,105989,12149,2978,0,000,Não,000,000,000
,151,22/10/1995,022,023,042,054,065,000,2,(),17976742,287,125274,13358,3589,0,000,Não,000,000,000
,152,26/10/1995,005,014,031,038,075,000,1,(),26953315,264,102096,12460,2884,0,000,Não,000,000,000
,153,29/10/1995,002,010,011,015,066,000,12,(),2874987,975,35385,30984,1484,0,000,Não,000,000,000
,154,05/11/1995,005,009,041,064,067,000,1,(),41207815,420,98114,17888,3071,0,000,Não,000,000,000
,155,09/11/1995,012,030,048,070,075,000,0,(),000,205,134535,8648,4252,0,000,Sim,000,000,000
,156,12/11/1995,007,012,029,054,055,000,5,(),13424962,471,83961,19816,2661,0,000,Não,000,000,000
,157,19/11/1995,042,050,052,066,072,000,0,(),000,193,230190,11013,5379,0,000,Sim,000,000,000
,158,23/11/1995,002,027,035,044,055,000,3,(),26936465,340,107008,16565,2929,0,000,Não,000,000,000
,159,26/11/1995,004,011,024,025,032,000,9,(),4069245,751,48766,27331,1787,0,000,Não,000,000,000
,160,30/11/1995,008,025,042,060,063,000,4,(),6747459,215,125534,9987,3603,0,000,Não,000,000,000
,161,03/12/1995,013,029,041,061,074,000,0,(),000,219,167130,11020,4429,0,000,Sim,000,000,000
,162,07/12/1995,020,025,057,067,078,000,4,(),18322881,201,182537,11282,4336,0,000,Não,000,000,000
,163,10/12/1995,009,014,016,052,071,000,4,(),9086767,368,98769,17960,2698,0,000,Não,000,000,000
,164,14/12/1995,007,009,019,045,080,000,8,(),3710635,794,37387,27223,1454,0,000,Não,000,000,000
,165,17/12/1995,012,021,027,045,075,000,3,(),12451871,531,70350,20617,2416,0,000,Não,000,000,000
,166,21/12/1995,002,031,041,043,044,000,3,(),9641455,247,117103,10504,3672,0,000,Não,000,000,000
,167,26/12/1995,020,033,062,063,069,000,1,(),34233102,150,228221,9187,4968,0,000,Não,000,000,000
,168,02/01/1996,015,026,030,044,069,000,3,(),13845457,305,136185,15088,3671,0,000,Não,000,000,000
,169,07/01/1996,003,015,030,056,072,000,1,(),42381025,446,95025,19934,2835,0,000,Não,000,000,000
,170,11/01/1996,018,022,027,074,075,000,3,(),9512648,260,109761,12056,3156,0,000,Não,000,000,000
,171,14/01/1996,012,018,037,047,056,000,4,(),9084887,414,87777,19297,2511,0,000,Não,000,000,000
,172,18/01/1996,037,038,057,067,079,000,1,(),27634054,194,142443,9730,3787,0,000,Não,000,000,000
,173,21/01/1996,022,029,034,042,051,000,2,(),17697215,237,149343,11135,4238,0,000,Não,000,000,000
,174,25/01/1996,011,016,023,044,048,000,5,(),5355020,432,61979,16042,2226,0,000,Não,000,000,000
,175,28/01/1996,029,060,064,072,079,000,2,(),16555711,166,199466,8076,5467,0,000,Não,000,000,000
,176,01/02/1996,001,027,029,036,073,000,2,(),12797018,165,155116,9849,3465,0,000,Não,000,000,000
,177,04/02/1996,009,033,048,067,073,000,9,(),3856064,356,97485,13289,3482,0,000,Não,000,000,000
,178,08/02/1996,005,014,015,066,068,000,3,(),9287484,363,76756,16307,2278,0,000,Não,000,000,000
,179,11/02/1996,030,060,065,068,075,000,3,(),12237990,172,213454,8886,5509,0,000,Não,000,000,000
,180,15/02/1996,001,020,023,025,049,000,1,(),28522515,303,94134,13615,2793,0,000,Não,000,000,000
,181,18/02/1996,006,021,031,037,064,000,3,(),10396202,257,121357,11150,3729,0,000,Não,000,000,000
,182,25/02/1996,009,044,046,057,059,000,1,(),37129704,279,133082,14259,3472,0,000,Não,000,000,000
,183,29/02/1996,020,033,048,069,070,000,1,(),25426555,164,155040,7869,4308,0,000,Não,000,000,000
,184,03/03/1996,022,029,038,058,062,376033000,2,([BA][MG]),17372725,244,142399,11451,4046,0,000,Não,376033000,24000000,000
,185,07/03/1996,009,024,028,031,045,000,3,(),8710273,357,73196,14403,2419,0,000,Não,000,000,000
,186,10/03/1996,006,020,021,046,063,000,0,(),000,336,114004,16018,3189,0,000,Sim,000,000,000
,187,14/03/1996,002,043,045,064,068,000,3,(),24381671,260,133999,13588,3419,0,000,Não,000,000,000
,188,17/03/1996,028,043,056,057,077,000,3,(),13445050,317,127240,15569,3454,0,000,Não,000,000,000
,189,21/03/1996,001,005,052,053,071,000,0,(),000,228,119168,10832,3344,0,000,Sim,000,000,000
,190,24/03/1996,021,029,046,059,076,000,0,(),000,296,147973,13843,4219,0,000,Sim,000,000,000
,191,28/03/1996,004,007,019,035,056,000,10,(),11071067,988,40222,33505,1582,0,000,Não,000,000,000
,192,31/03/1996,016,037,054,068,077,000,3,(),12924672,488,79455,17189,3008,0,000,Não,000,000,000
,193,07/04/1996,012,013,051,067,073,000,3,(),12698856,369,103243,16893,3007,0,000,Não,000,000,000
,194,11/04/1996,014,019,032,037,045,000,10,(),2933551,670,43785,20463,1911,0,000,Não,000,000,000
,195,14/04/1996,008,023,050,065,073,000,5,(),7550846,312,121007,13815,3644,0,000,Não,000,000,000
,196,18/04/1996,010,027,030,072,078,000,4,(),7071935,249,113606,11422,3302,0,000,Não,000,000,000
,197,21/04/1996,003,027,030,033,059,000,3,(),12106542,548,66276,20313,2384,0,000,Não,000,000,000
,198,25/04/1996,006,014,018,071,073,000,2,(),13781731,247,111593,12951,2838,0,000,Não,000,000,000
,199,28/04/1996,003,031,047,077,079,000,0,(),000,263,134745,12584,3755,0,000,Sim,000,000,000
,200,05/05/1996,019,021,064,070,072,000,2,(),44718947,355,152113,17088,4214,0,000,Não,000,000,000
,201,09/05/1996,007,071,073,076,079,000,4,(),6820471,382,71419,10378,3505,0,000,Não,000,000,000
,202,12/05/1996,006,037,043,061,062,000,4,(),9558626,229,166963,12077,4221,0,000,Não,000,000,000
,203,16/05/1996,003,013,017,047,060,000,3,(),8932830,532,50373,19755,1809,0,000,Não,000,000,000
,204,19/05/1996,007,011,021,051,058,000,3,(),12348556,413,89699,18624,2652,0,000,Não,000,000,000
,205,23/05/1996,004,009,031,040,058,000,1,(),28092656,320,87790,12888,2906,0,000,Não,000,000,000
,206,26/05/1996,001,010,036,062,064,000,2,(),19544884,436,89656,19554,2665,0,000,Não,000,000,000
,207,30/05/1996,005,007,012,016,066,000,9,(),3135418,696,40544,24392,1543,0,000,Não,000,000,000
,208,02/06/1996,003,024,048,052,071,000,3,(),12683205,382,99606,15366,3302,0,000,Não,000,000,000
,209,09/06/1996,026,037,061,067,071,000,1,(),46391910,150,309279,9864,6271,0,000,Não,000,000,000
,210,13/06/1996,010,014,032,053,061,000,4,(),6994319,243,115133,10871,3432,0,000,Não,000,000,000
,211,16/06/1996,003,011,019,031,039,000,24,(),1585449,1087,35005,31873,1592,0,000,Não,000,000,000
,212,20/06/1996,038,046,050,065,069,000,1,(),27624084,209,132173,8721,4224,0,000,Não,000,000,000
,213,23/06/1996,005,013,014,034,063,000,2,(),18064339,578,62506,25880,1862,0,000,Não,000,000,000
,214,27/06/1996,010,019,024,034,072,000,6,(),4419425,366,72450,14735,2399,0,000,Não,000,000,000
,215,30/06/1996,037,046,049,062,073,000,1,(),36770742,182,202037,10891,4501,0,000,Não,000,000,000
,216,04/07/1996,031,032,034,054,059,000,0,(),000,116,235800,8065,4522,0,000,Sim,000,000,000
,217,07/07/1996,008,041,056,065,074,000,3,(),23614844,390,111517,15978,3629,0,000,Não,000,000,000
,218,11/07/1996,017,026,031,033,063,000,1,(),29432781,235,125246,11982,3275,0,000,Não,000,000,000
,219,14/07/1996,003,019,032,059,063,000,10,(),3890036,761,51117,23927,2168,0,000,Não,000,000,000
,220,18/07/1996,019,035,038,039,078,000,3,(),9112586,241,113435,12494,2917,0,000,Não,000,000,000
,221,21/07/1996,045,069,072,077,079,000,2,(),18948586,314,120692,12979,3893,0,000,Não,000,000,000
,222,25/07/1996,003,024,027,058,069,000,3,(),9001412,337,80132,13480,2671,0,000,Não,000,000,000
,223,28/07/1996,010,021,043,064,068,000,3,(),11954883,332,108026,15150,3157,0,000,Não,000,000,000
,224,01/08/1996,018,041,058,062,073,000,1,(),26124397,132,197912,7141,4878,0,000,Não,000,000,000
,225,04/08/1996,016,034,037,042,070,000,1,(),36996258,309,119729,14377,3431,0,000,Não,000,000,000
,226,08/08/1996,017,024,050,056,066,000,1,(),28270557,247,114456,11255,3349,0,000,Não,000,000,000
,227,11/08/1996,019,023,032,038,061,000,3,(),13072230,382,102662,18613,2810,0,000,Não,000,000,000
,228,15/08/1996,012,023,050,052,055,000,2,(),14103242,168,167896,10073,3734,0,000,Não,000,000,000
,229,18/08/1996,007,060,062,067,074,000,5,(),7872491,262,150239,13169,3986,0,000,Não,000,000,000
,230,22/08/1996,014,027,041,068,078,000,3,(),9385498,255,110418,10600,3542,0,000,Não,000,000,000
,231,25/08/1996,003,028,041,058,075,000,1,(),39369024,315,124981,13657,3843,0,000,Não,000,000,000
,232,29/08/1996,027,034,035,042,062,000,0,(),000,259,107274,11297,3279,0,000,Sim,000,000,000
,233,01/09/1996,049,055,056,068,071,000,4,(),17033632,222,181760,11997,4485,0,000,Não,000,000,000
,234,05/09/1996,027,029,034,064,073,000,1,(),28919431,271,106714,11421,3377,0,000,Não,000,000,000
,235,08/09/1996,017,027,035,054,076,000,1,(),38903571,558,69720,20623,2516,0,000,Não,000,000,000
,236,12/09/1996,014,026,051,055,064,000,1,(),29543223,184,160561,9065,4345,0,000,Não,000,000,000
,237,15/09/1996,014,026,036,037,069,000,2,(),19923409,315,126498,17514,3034,0,000,Não,000,000,000
,238,19/09/1996,025,027,055,061,069,000,0,(),000,167,174188,9088,4268,0,000,Sim,000,000,000
,239,22/09/1996,017,060,067,074,075,000,1,(),69473276,337,119834,15021,3584,0,000,Não,000,000,000
,240,26/09/1996,030,035,049,051,069,000,0,(),000,174,165633,7421,5178,0,000,Sim,000,000,000
,241,29/09/1996,002,016,032,063,067,000,4,(),17174894,421,94726,17860,2978,0,000,Não,000,000,000
,242,06/10/1996,022,034,036,042,062,000,2,(),21744719,415,104794,18937,3062,0,000,Não,000,000,000
,243,10/10/1996,002,004,055,060,065,000,1,(),29162011,193,151099,9980,3896,0,000,Não,000,000,000
,244,13/10/1996,005,008,031,032,041,000,2,(),18596843,482,77166,18645,2660,0,000,Não,000,000,000
,245,17/10/1996,016,025,027,028,069,000,2,(),14352408,341,84178,15937,2401,0,000,Não,000,000,000
,246,20/10/1996,022,061,063,066,080,000,2,(),18727394,187,200293,10727,4655,0,000,Não,000,000,000
,247,24/10/1996,003,005,022,030,060,000,4,(),7132848,388,73535,15710,2422,0,000,Não,000,000,000
,248,27/10/1996,005,050,056,060,062,000,5,(),7454129,367,101555,13340,3725,0,000,Não,000,000,000
,249,31/10/1996,009,050,063,067,076,000,1,(),27718531,190,145887,9877,3742,0,000,Não,000,000,000
,250,03/11/1996,043,051,075,079,080,000,0,(),000,244,147416,11163,4296,0,000,Sim,000,000,000
,251,07/11/1996,020,037,046,061,074,000,0,(),000,166,216925,8975,5350,0,000,Sim,000,000,000
,252,10/11/1996,008,014,043,065,076,000,4,(),29274131,565,79854,21817,2758,0,000,Não,000,000,000
,253,17/11/1996,007,021,054,062,077,000,5,(),9592026,418,114737,18564,3444,0,000,Não,000,000,000
,254,21/11/1996,021,038,052,060,066,000,1,(),29185085,254,114902,10108,3850,0,000,Não,000,000,000
