,Concurso,Data do Sorteio,Coluna1,Coluna2,Coluna3,Coluna4,Coluna5,Coluna6,Ganhadores Faixa 1,Ganhadores Faixa 2,Ganhadores Faixa 3,Rateio Faixa 1,Rateio Faixa2,Rateio Faixa 3,Cidade,Valor Arrecadado,Estimativa para o próximo concurso,Valor Acumulado Próximo Concurso,Acumulado,Sorteio Especial,Observação
,47,26/01/1997,003,017,025,035,048,056,0,210,10873,000,445844,8594,(),000,000,593341851,Sim,Não
,48,02/02/1997,002,005,028,034,047,050,0,132,7454,000,748295,13225,(),000,000,711871738,Sim,Não
,49,09/02/1997,007,013,033,035,043,055,1,155,9830,840515676,691634,10885,([RJ]),000,000,000,Não,Não,Ganhador  RJ (Barra Mansa)
,50,16/02/1997,006,016,021,044,057,058,0,31,2800,000,2524125,27891,(),000,000,891783039,Sim,Não
,51,23/02/1997,017,023,024,025,042,047,0,143,9361,000,723147,11025,(),000,000,1015874973,Sim,Não
,52,02/03/1997,015,030,038,046,058,059,0,77,6442,000,1554423,18543,(),000,000,1159503671,Sim,Não
,53,09/03/1997,003,013,016,038,042,046,0,210,10941,000,633779,12141,(),000,000,1319215946,Sim,Não
,54,16/03/1997,005,009,018,021,036,056,2,207,13067,746965399,703361,11120,([BA][SP]),000,000,000,Não,Não,Ganhadores dos estados: BA e SP
,55,23/03/1997,002,014,023,029,038,052,0,66,3840,000,1081763,18556,(),000,000,85675639,Sim,Não
,56,30/03/1997,002,007,020,035,051,059,0,48,2599,000,1214220,22381,(),000,000,155614746,Sim,Não
,57,06/04/1997,007,016,017,027,034,059,0,79,6173,000,1069910,13665,(),000,000,257042180,Sim,Não
,58,13/04/1997,012,027,030,037,044,049,1,65,5040,363130491,1360107,17506,([SP]),000,000,000,Não,Não,Ganhador do Estado: SP
,59,20/04/1997,002,008,013,028,034,054,0,90,5351,000,731234,12275,(),000,000,78973342,Sim,Não
,60,27/04/1997,003,014,015,020,021,038,0,129,7914,000,711147,11569,(),000,000,947824926,Sim,Não
,61,04/05/1997,008,018,029,042,044,059,0,52,3866,000,1890294,25376,(),000,000,1065779245,Sim,Não
,62,11/05/1997,006,008,013,024,031,052,0,119,8613,000,996870,13746,(),000,000,1208132345,Sim,Não
,63,18/05/1997,009,025,026,040,041,049,1,82,6359,1368001957,1624691,20910,([MG]),000,000,000,Não,Não
,64,25/05/1997,008,012,023,050,054,060,0,29,2441,000,2330996,27638,(),000,000,81118658,Sim,Não
,65,01/06/1997,001,005,020,025,032,034,0,61,4932,000,1154237,14248,(),000,000,165608809,Sim,Não
,66,08/06/1997,012,013,015,026,033,048,0,102,7686,000,805425,10668,(),000,000,264192781,Sim,Não
,67,15/06/1997,012,014,017,027,047,052,0,83,5479,000,1061725,16052,(),000,000,369940644,Sim,Não
,68,22/06/1997,001,003,012,013,053,059,0,49,4758,000,1849673,19011,(),000,000,478701446,Sim,Não
,69,29/06/1997,025,034,045,053,056,058,0,55,3661,000,1727148,25896,(),000,000,592693193,Sim,Não
,70,06/07/1997,017,023,027,040,043,058,0,95,6071,000,1289952,20146,(),000,000,1488384929,Sim,Não
,71,13/07/1997,016,027,033,043,045,053,0,115,7430,000,1245174,19235,(),000,000,1660218845,Sim,Não
,72,20/07/1997,001,019,034,043,044,048,0,85,7982,000,1967633,20913,(),000,000,1860917426,Sim,Não
,73,27/07/1997,025,026,028,045,051,057,1,95,8222,2102657540,2120527,24452,([BA]),000,000,000,Não,Não,GANHADOR: BA - SALVADOR
,74,03/08/1997,002,024,034,037,038,050,0,40,3321,000,1825768,21948,(),000,000,87636871,Sim,Não
,75,10/08/1997,021,024,035,036,037,049,0,70,5032,000,1239502,17209,(),000,000,191755002,Sim,Não
,76,17/08/1997,008,017,018,023,033,053,0,92,6399,000,1024761,14704,(),000,000,304888614,Sim,Não
,77,24/08/1997,021,029,040,049,054,057,0,20,2635,000,4964881,37609,(),000,000,424045760,Sim,Não
,78,31/08/1997,012,022,025,031,032,046,0,103,5984,000,990736,17019,(),000,000,546500639,Sim,Não
,79,07/09/1997,002,013,017,025,031,043,1,247,13375,677060175,440485,8118,([RS]),000,000,000,Não,Não,O ganhador da SENA do Estado do Rio Grande do Sul
,80,14/09/1997,023,028,037,040,048,051,0,43,4284,000,2644300,26489,(),000,000,1095370753,Sim,Não
,81,21/09/1997,010,023,041,047,054,060,0,62,4870,000,1945315,24717,(),000,000,1240102168,Sim,Não
,82,28/09/1997,015,018,029,036,051,053,1,77,5889,1387782602,1598273,20857,([BA]),000,000,000,Não,Não,Ganhador da SENA do Estado da Bahia
,83,05/10/1997,004,015,016,024,042,057,0,76,4756,000,940843,15004,(),000,000,85804893,Sim,Não
,84,12/10/1997,004,006,010,025,034,040,0,102,5546,000,753968,13840,(),000,000,178090580,Sim,Não
,85,19/10/1997,006,015,030,037,045,047,0,45,4312,000,1727925,17996,(),000,000,271398486,Sim,Não
,86,26/10/1997,006,021,022,034,036,054,0,48,3752,000,1675296,21390,(),000,000,367895517,Sim,Não
,87,02/11/1997,004,005,011,028,032,040,0,64,5195,000,1269660,15611,(),000,000,465405386,Sim,Não,A SENA ESTA ACUMULADA
,88,09/11/1997,004,018,029,037,043,045,0,110,6805,000,796582,12851,(),000,000,570554099,Sim,Não,A MEGASENA ESTA ACUMULADA
,89,16/11/1997,013,034,042,044,055,059,0,36,3847,000,2424600,22645,(),000,000,675296826,Sim,Não,A MEGA SENA EST- ACUMULADA
,90,23/11/1997,009,021,026,040,052,054,1,74,4763,1576430087,1858449,28817,([RJ]),000,000,000,Não,Não,ESTADO CONTEMPLADO COM SENA: RIO DE JANEIRO
,91,30/11/1997,002,004,010,035,039,060,0,68,3878,000,958880,16781,(),000,000,78244593,Sim,Não
,92,07/12/1997,001,003,005,023,024,051,0,75,5530,000,979264,13256,(),000,000,166378345,Sim,Não
,93,14/12/1997,002,022,028,031,036,053,0,61,3795,000,1236931,19844,(),000,000,256921731,Sim,Não
,94,21/12/1997,008,018,028,051,052,055,0,25,2086,000,3145749,37626,(),000,000,351294216,Sim,Não
,95,28/12/1997,006,040,045,046,050,060,0,22,2185,000,3080789,30958,(),000,000,432627055,Sim,Não
,96,04/01/1998,004,007,026,040,042,058,1,62,3984,521856247,1199317,18627,(),000,000,000,Não,Não,Ganhador da SENA do Estado da Bahia
,97,11/01/1998,005,011,014,035,053,056,1,56,3441,72793266,1083233,17594,(),000,000,000,Não,Não,Ganhador da SENA do Estado de Minas Gerais
,98,18/01/1998,013,014,031,033,035,043,0,89,4972,000,650888,11628,(),000,000,69514905,Sim,Não
,99,25/01/1998,011,024,030,033,046,060,0,46,3015,000,1403792,21376,(),000,000,147004196,Sim,Não,A MEGA EST- ACUMULADA ! ! !
,100,01/02/1998,014,029,030,046,048,051,0,56,3600,000,1593048,24732,(),000,000,858512947,Sim,Não
,101,08/02/1998,001,018,029,031,037,039,0,52,4653,000,2058941,22964,(),000,000,986990865,Sim,Não,A MEGA EST-  A C U M U L A D A  ! ! !
,102,15/02/1998,019,020,037,042,044,056,1,73,6197,1133662688,1674336,19685,(),000,000,000,Não,Não,Ganhador da SENA do Estado de Minas Gerais
,103,22/02/1998,001,007,009,049,054,057,1,28,2632,69698424,2074358,22024,(),000,000,000,Não,Não,GANHADOR DA SENA DO ESTADO DO PARAN-
,104,01/03/1998,001,004,013,021,038,052,0,37,2588,000,1400633,19985,(),000,000,62188072,Sim,Não,A C U M U L O U !!!
,105,08/03/1998,003,013,031,043,046,049,0,55,4875,000,1182408,13314,(),000,000,140226988,Sim,Não,A MEGA-SENA EST- ACUMULADA ! ! !
,106,15/03/1998,005,016,024,035,038,039,0,94,5390,000,767827,13365,(),979527800,300000000,226837866,Sim,Não
,107,22/03/1998,002,004,016,024,051,052,0,35,3554,000,2149423,21126,(),000,000,317113601,Sim,Não,A MEGA EST- ACUMULADA ! ! !
,108,29/03/1998,021,024,029,034,059,060,0,35,2453,000,2251172,32057,(),000,000,411662849,Sim,Não
,109,04/04/1998,001,013,044,048,049,054,0,39,3881,000,2115330,21215,(),000,000,1152367738,Sim,Não,A MEGA-SENA EST- ACUMULADA ! ! !
,110,11/04/1998,018,031,043,052,057,058,0,35,3212,000,2777148,30201,(),000,000,1269007916,Sim,Não
,111,18/04/1998,004,022,025,032,033,052,0,68,6109,000,1808294,20088,(),000,000,1416564719,Sim,Não
,112,25/04/1998,012,020,034,037,042,043,1,137,8340,1580257993,995701,16325,(),000,000,000,Não,Não,01 GANHADOR DO ESTADO DO "RIO GRANDE DO NORTE"
,113,02/05/1998,007,026,028,034,054,055,0,38,2572,000,1426955,21040,(),000,000,65069140,Sim,Não
,114,09/05/1998,006,012,018,037,047,054,0,71,4908,000,962608,13899,(),000,000,147083369,Sim,Não
,115,16/05/1998,004,006,014,020,024,038,0,78,5091,000,928310,14195,(),000,000,233973179,Sim,Não,A MEGA-SENA EST- ACUMULADA !!!
,116,23/05/1998,005,013,032,036,042,051,0,64,5270,000,1195628,14491,(),1038487800,420000000,325797362,Sim,Não
,117,30/05/1998,020,025,027,033,042,053,0,36,3822,000,2204687,20726,(),000,000,421039841,Sim,Não
,118,06/06/1998,009,022,025,037,056,057,0,53,4342,000,1605288,19556,(),000,000,523136136,Sim,Não,A MEGA-SENA EST- ACUMULADA ! ! !
,119,13/06/1998,001,021,036,038,047,050,0,21,2691,000,3892116,30313,(),000,000,1320622591,Sim,Não
,120,20/06/1998,003,016,027,040,045,046,0,92,7073,000,1302097,16904,(),000,000,1464374070,Sim,Não
,121,27/06/1998,002,029,041,044,053,055,0,45,4554,000,2891700,28517,(),000,000,1620525833,Sim,Não,A MEGA-SENA EST- ACUMULADA ! ! !
,122,04/07/1998,011,017,020,039,043,053,0,83,7203,000,1821045,20943,(),000,000,1801901895,Sim,Não
,123,11/07/1998,013,014,016,026,032,042,0,176,13159,000,1244056,16606,(),000,000,2064646528,Sim,Não,A MEGA-SENA ACUMULOU (11¬ Vez)
,124,18/07/1998,005,015,034,041,052,057,1,188,14019,2453628872,1724212,23076,(),000,000,000,Não,Não,O PREMIO PRINCIPAL SAIU PARA A CIDADE DE VILA VELHA NO ESTADO DO ESPIRITO SANTO
,125,25/07/1998,025,041,047,053,056,059,0,46,2784,000,1542568,25438,(),000,000,85149747,Sim,Não
,126,01/08/1998,006,010,011,028,032,040,0,83,5510,000,1005256,15113,(),000,000,185273183,Sim,Não,A MEGA-SENA EST- ACUMULADA ! ! !
